#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
HW296/HW296	NODE_10_length_73285_cov_414.632541	30948	31732	-	flgG	1-788/792	========/======	14/17	98.23	69.06	vfdb	NP_281870	(flgG) flagellar basal-body rod protein FlgG [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_15_length_42681_cov_447.180641	9178	9590	-	gmhA	109-521/561	..======/======	8/16	72.19	69.12	vfdb	NP_282296	(gmhA) phosphoheptose isomerase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_17_length_28633_cov_455.362167	7683	8704	+	fliM	1-1019/1065	========/======	13/35	94.18	70.91	vfdb	NP_207821	(fliM) flagellar motor switch protein FliM [Pse5Ac7Ac (AI150)] [Helicobacter pylori 26695]	
HW296/HW296	NODE_1_length_184253_cov_320.071461	79719	80618	+	cheV	34-936/957	========/======	15/27	92.79	67.98	vfdb	YP_002343726	(cheV) chemotaxis protein [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_1_length_184253_cov_320.071461	93850	94748	-	cheV1	23-921/966	========/======	10/18	92.13	71.48	vfdb	NP_206821	(cheV1) chemotaxis coupling protein CheV1 [Pse5Ac7Ac (AI150)] [Helicobacter pylori 26695]	
HW296/HW296	NODE_1_length_184253_cov_320.071461	127214	127517	+	fliS	49-352/381	.=============.	0/0	79.79	71.71	vfdb	NP_207546	(fliS) flagellar protein FliS [Pse5Ac7Ac (AI150)] [Helicobacter pylori 26695]	
HW296/HW296	NODE_1_length_184253_cov_320.071461	143602	144540	-	flgR	1-942/1302	========/===...	9/23	71.35	68.49	vfdb	NP_282174	(flgR) sigma-54 associated transcriptional activator [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_2_length_140622_cov_427.552825	27104	27464	-	cheY	2-362/393	==============.	0/0	91.86	78.12	vfdb	YP_002344511	(cheY) chemotaxis regulatory protein [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_2_length_140622_cov_427.552825	38500	38706	+	fliQ	24-230/270	.=======/====..	4/4	75.93	74.64	vfdb	NP_282802	(fliQ) flagellar biosynthesis protein FliQ [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_2_length_140622_cov_427.552825	75450	76975	-	Cj1135	14-1536/1548	========/======	23/47	96.96	65.76	vfdb	NP_282283	(Cj1135) glucosyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_2_length_140622_cov_427.552825	101380	102193	+	pseB	1-814/1005	========/====..	6/10	80.50	70.70	vfdb	NP_282439	(pseB) UDP-GlcNAc-specific C46 dehydratase/C5 epimerase [Pse5Ac7Ac Pse5Ac7Am Pse8OAc Pse5Am7AcGlnAc (AI151)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_3_length_136010_cov_358.851613	123335	124332	+	fliG	34-1031/1032	========/======	11/18	95.83	68.42	vfdb	NP_207150	(fliG) flagellar motor switch protein G [Pse5Ac7Ac (AI150)] [Helicobacter pylori 26695]	
HW296/HW296	NODE_4_length_123057_cov_406.646607	67257	67708	-	kdtB	6-446/474	========/======	7/23	91.77	68.12	vfdb	NP_208266	(kdtB) lipopolysaccharide core biosynthesis protein [LPS (VF0056)] [Helicobacter pylori 26695]	
HW296/HW296	NODE_4_length_123057_cov_406.646607	87837	88415	+	cdtB	1-570/798	========/===...	9/23	70.55	67.75	vfdb	NP_281291	(cdtB) cytolethal distending toxin B [CDT (VF0115)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_4_length_123057_cov_406.646607	98799	99658	+	kpsF	14-882/948	========/======	13/25	89.87	69.10	vfdb	NP_282584	(kpsF) D-arabinose 5-phosphate isomerase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_5_length_114471_cov_382.970074	111047	112615	-	htpB	76-1653/1653	========/======	22/43	93.89	64.95	vfdb	YP_094724	(htpB) Hsp60 60K heat shock protein HtpB [Hsp60 (VF0159)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]	
HW296/HW296	NODE_7_length_103777_cov_418.878425	56961	57430	+	flgC	1-455/486	========/======	7/17	93.42	70.70	vfdb	NP_208349	(flgC) flagellar basal-body rod protein FlgC [Flagella (CVF223)] [Helicobacter pylori 26695]	
HW296/HW296	NODE_8_length_92358_cov_386.487611	28413	30406	-	kpsC	26-2043/2070	========/======	24/66	95.31	69.00	vfdb	NP_282555	(kpsC) capsule polysaccharide modification protein [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_8_length_92358_cov_386.487611	31224	31848	-	hddC	2-626/666	========/======	3/14	92.79	73.73	vfdb	NP_282564	(hddC) D-glycero-D-manno-heptose 1-phosphate guanosyltransferase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_8_length_92358_cov_386.487611	31838	32442	-	gmhA2	1-605/606	========/======	5/8	99.17	74.38	vfdb	NP_282565	(gmhA2) phosphoheptose isomerase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_8_length_92358_cov_386.487611	32430	33419	-	hddA	37-1020/1020	========/======	3/8	96.37	72.86	vfdb	NP_282566	(hddA) D-glycero-D-manno-heptose 7-phosphate kinase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_8_length_92358_cov_386.487611	37885	38373	-	rfbC	1-486/546	========/=====.	4/9	88.46	72.76	vfdb	NP_282571	(rfbC) dTDP-4-dehydrorhamnose 35-epimerase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_8_length_92358_cov_386.487611	38481	39521	-	fcl	1-1035/1041	========/======	22/32	98.17	66.41	vfdb	NP_282569	(fcl) GDP-L-fucose synthetase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_8_length_92358_cov_386.487611	39594	40079	-	rfbC	1-486/546	========/=====.	4/4	88.64	74.59	vfdb	NP_282571	(rfbC) dTDP-4-dehydrorhamnose 35-epimerase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_8_length_92358_cov_386.487611	49789	51267	-	kpsD	184-1653/1659	.=======/======	13/37	87.76	72.47	vfdb	NP_282585	(kpsD) capsule polysaccharide export system periplasmic protein [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_8_length_92358_cov_386.487611	52557	53216	-	kpsT	1-660/663	========/======	4/6	99.10	76.77	vfdb	NP_282587	(kpsT) capsule polysaccharide export ATP-binding protein [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
HW296/HW296	NODE_8_length_92358_cov_386.487611	53234	53989	-	kpsM	1-756/783	========/======	11/24	95.02	70.96	vfdb	NP_282588	(kpsM) capsule polysaccharide export system inner membrane protein [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]	
